ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-001,Anderson County,Texas,67.1,1.7,116,65.4
TX-003,Andrews County,Texas,64.1,2.1,118,61.9
TX-005,Angelina County,Texas,68.4,2.3,124,66.1
TX-007,Aransas County,Texas,72.8,2.4,123,70.3
TX-009,Archer County,Texas,65.8,2.4,122,63.5
TX-011,Armstrong County,Texas,60.8,2.9,125,57.9
TX-013,Atascosa County,Texas,72,2.2,124,69.8
TX-015,Austin County,Texas,71.2,3.2,126,68
TX-017,Bailey County,Texas,59,2,118,57.1
TX-019,Bandera County,Texas,68.8,2.6,127,66.1
TX-021,Bastrop County,Texas,70.1,2.7,126,67.4
TX-023,Baylor County,Texas,66.1,2.7,125,63.4
TX-025,Bee County,Texas,72,1.7,115,70.3
TX-027,Bell County,Texas,68.4,2.7,125,65.7
TX-029,Bexar County,Texas,71.1,2.6,126,68.5
TX-031,Blanco County,Texas,68.4,2.3,124,66.1
TX-033,Borden County,Texas,65,2.1,123,62.9
TX-035,Bosque County,Texas,67.9,2.6,127,65.4
TX-037,Bowie County,Texas,65.5,2.4,125,63.1
TX-039,Brazoria County,Texas,71.7,2.8,125,68.9
TX-041,Brazos County,Texas,69.4,2.3,125,67
TX-043,Brewster County,Texas,66.7,2.2,117,64.6
TX-045,Briscoe County,Texas,61.8,2.5,121,59.3
TX-047,Brooks County,Texas,74.6,2.4,119,72.2
TX-049,Brown County,Texas,67.7,3.3,128,64.4
TX-051,Burleson County,Texas,69.7,2.7,125,67
TX-053,Burnet County,Texas,68.4,2.4,123,66
TX-055,Caldwell County,Texas,70.8,3,126,67.8
TX-057,Calhoun County,Texas,72.2,2.5,122,69.7
TX-059,Callahan County,Texas,66.4,2.7,127,63.7
TX-061,Cameron County,Texas,75.2,1.5,113,73.7
TX-063,Camp County,Texas,65.8,2,118,63.9
TX-065,Carson County,Texas,59.9,3.1,125,56.8
TX-067,Cass County,Texas,65.7,1.6,118,64
TX-069,Castro County,Texas,58.9,2.2,122,56.7
TX-071,Chambers County,Texas,70.3,2,121,68.2
TX-073,Cherokee County,Texas,67.3,1.8,121,65.4
TX-075,Childress County,Texas,64.2,2.9,127,61.3
TX-077,Clay County,Texas,65.5,2.1,122,63.4
TX-079,Cochran County,Texas,59.9,1.9,117,58
TX-081,Coke County,Texas,66.7,2.8,125,63.9
TX-083,Coleman County,Texas,67.3,3.2,128,64.1
TX-085,Collin County,Texas,66.4,2.6,125,63.8
TX-087,Collingsworth County,Texas,62.3,2.6,124,59.8
TX-089,Colorado County,Texas,71.4,3.2,126,68.2
TX-091,Comal County,Texas,69.7,2.4,125,67.3
TX-093,Comanche County,Texas,67.8,3.5,129,64.3
TX-095,Concho County,Texas,67.2,3,126,64.2
TX-097,Cooke County,Texas,65.3,1.9,119,63.4
TX-099,Coryell County,Texas,68,2.6,125,65.4
TX-101,Cottle County,Texas,64.7,2.5,126,62.2
TX-103,Crane County,Texas,67.5,2.7,122,64.8
TX-105,Crockett County,Texas,67.3,2.6,127,64.8
TX-107,Crosby County,Texas,62.6,2.4,124,60.2
TX-109,Culberson County,Texas,63,1.9,116,61.1
TX-111,Dallam County,Texas,55.5,1,94,54.5
TX-113,Dallas County,Texas,67.5,2.2,122,65.3
TX-115,Dawson County,Texas,63.6,1.7,116,61.9
TX-117,Deaf Smith County,Texas,58.4,2.6,124,55.7
TX-119,Delta County,Texas,65.6,2.3,124,63.4
TX-121,Denton County,Texas,66.8,2.3,123,64.5
TX-123,DeWitt County,Texas,71.6,2.5,125,69.1
TX-125,Dickens County,Texas,64.2,2.4,126,61.8
TX-127,Dimmit County,Texas,72.8,2.1,121,70.7
TX-129,Donley County,Texas,61.4,2.6,125,58.8
TX-131,Duval County,Texas,73.5,2.3,120,71.2
TX-133,Eastland County,Texas,66.7,2.9,128,63.7
TX-135,Ector County,Texas,65.5,2.5,119,63
TX-137,Edwards County,Texas,67.9,2.8,127,65.1
TX-139,Ellis County,Texas,67.7,1.9,115,65.8
TX-141,El Paso County,Texas,64.6,2.4,117,62.2
TX-143,Erath County,Texas,68,3.8,129,64.2
TX-145,Falls County,Texas,68.1,2.3,122,65.8
TX-147,Fannin County,Texas,65.6,2.6,126,63
TX-149,Fayette County,Texas,71.1,3.2,126,67.9
TX-151,Fisher County,Texas,66.2,3,127,63.2
TX-153,Floyd County,Texas,60.9,2,121,58.9
TX-155,Foard County,Texas,65.4,2.7,127,62.7
TX-157,Fort Bend County,Texas,71.7,3.1,126,68.6
TX-159,Franklin County,Texas,65.6,2,120,63.6
TX-161,Freestone County,Texas,67.3,1.5,114,65.8
TX-163,Frio County,Texas,72.3,2.6,125,69.7
TX-165,Gaines County,Texas,62.8,2,122,60.9
TX-167,Galveston County,Texas,71.4,2.5,121,68.9
TX-169,Garza County,Texas,64.7,2.4,123,62.2
TX-171,Gillespie County,Texas,67.4,2.5,126,64.9
TX-173,Glasscock County,Texas,65.8,2.7,125,63.2
TX-175,Goliad County,Texas,71.9,2.1,121,69.8
TX-177,Gonzales County,Texas,71.4,2.7,126,68.7
TX-179,Gray County,Texas,60.1,2.8,124,57.3
TX-181,Grayson County,Texas,65.5,2.1,122,63.4
TX-183,Gregg County,Texas,66,1,104,65.1
TX-185,Grimes County,Texas,69.7,2.6,125,67.1
TX-187,Guadalupe County,Texas,70.9,2.6,126,68.3
TX-189,Hale County,Texas,60,1.8,116,58.2
TX-191,Hall County,Texas,63.5,2.7,124,60.9
TX-193,Hamilton County,Texas,67.9,3.1,128,64.7
TX-195,Hansford County,Texas,58.8,2,117,56.8
TX-197,Hardeman County,Texas,64.9,2.8,127,62.1
TX-199,Hardin County,Texas,68.9,2,123,67
TX-201,Harris County,Texas,71.1,2.7,124,68.4
TX-203,Harrison County,Texas,66.1,0.9,104,65.2
TX-205,Hartley County,Texas,56.9,1.5,111,55.4
TX-207,Haskell County,Texas,66.3,2.6,126,63.6
TX-209,Hays County,Texas,69.2,2.3,125,66.9
TX-211,Hemphill County,Texas,59.6,1.9,115,57.7
TX-213,Henderson County,Texas,66.4,1.3,106,65.1
TX-215,Hidalgo County,Texas,75.4,1.6,116,73.8
TX-217,Hill County,Texas,67.8,2,117,65.8
TX-219,Hockley County,Texas,60.6,1.8,113,58.8
TX-221,Hood County,Texas,67.8,2.8,128,65.1
TX-223,Hopkins County,Texas,65.6,2.1,122,63.5
TX-225,Houston County,Texas,67.7,1.4,115,66.2
TX-227,Howard County,Texas,65.8,2.3,124,63.4
TX-229,Hudspeth County,Texas,62.5,2,117,60.5
TX-231,Hunt County,Texas,66.1,2.6,125,63.5
TX-233,Hutchinson County,Texas,60.7,2.9,124,57.8
TX-235,Irion County,Texas,66.6,2.7,127,63.9
TX-237,Jack County,Texas,65.4,2,120,63.4
TX-239,Jackson County,Texas,71.7,2.7,124,69
TX-241,Jasper County,Texas,68.2,2.1,124,66.1
TX-243,Jeff Davis County,Texas,62,1.9,112,60.1
TX-245,Jefferson County,Texas,69.9,2,119,68
TX-247,Jim Hogg County,Texas,74.6,2.4,120,72.1
TX-249,Jim Wells County,Texas,73.5,2.2,119,71.3
TX-251,Johnson County,Texas,67.5,2.2,120,65.3
TX-253,Jones County,Texas,66.4,2.5,126,63.9
TX-255,Karnes County,Texas,71.4,1.9,120,69.5
TX-257,Kaufman County,Texas,66.9,1.8,120,65.1
TX-259,Kendall County,Texas,68.5,2.5,125,66
TX-261,Kenedy County,Texas,74.4,2.1,118,72.3
TX-263,Kent County,Texas,65.6,2.7,126,62.9
TX-265,Kerr County,Texas,67.1,2.5,126,64.6
TX-267,Kimble County,Texas,67.2,3,126,64.1
TX-269,King County,Texas,65.8,2.9,127,62.8
TX-271,Kinney County,Texas,71.2,2.4,124,68.8
TX-273,Kleberg County,Texas,74,2.5,118,71.4
TX-275,Knox County,Texas,66.1,2.8,127,63.3
TX-277,Lamar County,Texas,65.1,2.1,123,63
TX-279,Lamb County,Texas,59.3,1.6,115,57.7
TX-281,Lampasas County,Texas,68,2.6,126,65.4
TX-283,La Salle County,Texas,72.7,1.8,120,70.9
TX-285,Lavaca County,Texas,71.7,3.3,125,68.5
TX-287,Lee County,Texas,69.8,2.8,126,67
TX-289,Leon County,Texas,67.5,1.4,111,66.1
TX-291,Liberty County,Texas,69.9,2.2,123,67.7
TX-293,Limestone County,Texas,67.4,1.7,114,65.7
TX-295,Lipscomb County,Texas,58.5,1.5,110,57
TX-297,Live Oak County,Texas,72.2,1.7,113,70.6
TX-299,Llano County,Texas,68.9,2.9,127,66
TX-301,Loving County,Texas,65.7,2.2,115,63.5
TX-303,Lubbock County,Texas,61.8,2.5,122,59.3
TX-305,Lynn County,Texas,62.9,2.2,123,60.7
TX-307,McCulloch County,Texas,67.5,2.9,127,64.5
TX-309,McLennan County,Texas,68.1,2.3,123,65.8
TX-311,McMullen County,Texas,72.4,1.7,119,70.7
TX-313,Madison County,Texas,68.4,1.7,121,66.7
TX-315,Marion County,Texas,65.7,0.9,103,64.8
TX-317,Martin County,Texas,64.7,1.9,119,62.9
TX-319,Mason County,Texas,68.1,3.1,127,65
TX-321,Matagorda County,Texas,71.5,2.5,122,69.1
TX-323,Maverick County,Texas,72.7,2.2,122,70.4
TX-325,Medina County,Texas,71.3,2.9,128,68.3
TX-327,Menard County,Texas,66.8,3.2,126,63.6
TX-329,Midland County,Texas,65.6,2.3,115,63.3
TX-331,Milam County,Texas,68.8,2.5,125,66.2
TX-333,Mills County,Texas,67.7,3.1,127,64.7
TX-335,Mitchell County,Texas,66.7,3.1,128,63.5
TX-337,Montague County,Texas,65.2,2,121,63.2
TX-339,Montgomery County,Texas,70.6,3.1,126,67.5
TX-341,Moore County,Texas,59.2,2.6,122,56.6
TX-343,Morris County,Texas,65.8,1.9,120,63.8
TX-345,Motley County,Texas,63.5,2.2,122,61.2
TX-347,Nacogdoches County,Texas,67.5,1.9,123,65.6
TX-349,Navarro County,Texas,67.5,1.7,115,65.8
TX-351,Newton County,Texas,68.3,2.2,124,66.1
TX-353,Nolan County,Texas,66.1,3.3,127,62.8
TX-355,Nueces County,Texas,73.4,2.2,118,71.2
TX-357,Ochiltree County,Texas,58.4,1.5,109,56.9
TX-359,Oldham County,Texas,58.3,1.7,111,56.6
TX-361,Orange County,Texas,69.3,1.9,119,67.4
TX-363,Palo Pinto County,Texas,66.9,2.7,126,64.2
TX-365,Panola County,Texas,66.7,1.2,111,65.4
TX-367,Parker County,Texas,66.8,2.3,124,64.5
TX-369,Parmer County,Texas,58.8,2.7,124,56.1
TX-371,Pecos County,Texas,66.8,3,126,63.8
TX-373,Polk County,Texas,68.9,2.2,124,66.7
TX-375,Potter County,Texas,59.8,2.8,125,57
TX-377,Presidio County,Texas,65.5,2,115,63.5
TX-379,Rains County,Texas,65.9,2.1,123,63.9
TX-381,Randall County,Texas,59.4,2.8,125,56.6
TX-383,Reagan County,Texas,66.3,2.7,125,63.6
TX-385,Real County,Texas,68,2.6,127,65.4
TX-387,Red River County,Texas,65.2,2.4,125,62.7
TX-389,Reeves County,Texas,66.1,2.4,117,63.7
TX-391,Refugio County,Texas,72.2,2,122,70.2
TX-393,Roberts County,Texas,60,2.3,121,57.6
TX-395,Robertson County,Texas,68.1,1.9,120,66.3
TX-397,Rockwall County,Texas,66.7,2.3,125,64.4
TX-399,Runnels County,Texas,67,2.8,124,64.2
TX-401,Rusk County,Texas,66.6,1.3,111,65.3
TX-403,Sabine County,Texas,67.9,2.5,126,65.4
TX-405,San Augustine County,Texas,67.8,2.2,124,65.6
TX-407,San Jacinto County,Texas,69.6,2.4,124,67.2
TX-409,San Patricio County,Texas,72.6,1.7,117,70.9
TX-411,San Saba County,Texas,68.3,3.2,127,65.1
TX-413,Schleicher County,Texas,66.5,2.9,126,63.7
TX-415,Scurry County,Texas,65.7,2.8,125,62.8
TX-417,Shackelford County,Texas,66.5,2.6,127,64
TX-419,Shelby County,Texas,67,1.7,122,65.3
TX-421,Sherman County,Texas,57.9,1.9,116,56
TX-423,Smith County,Texas,65.9,1.2,106,64.7
TX-425,Somervell County,Texas,68.1,2.8,128,65.3
TX-427,Starr County,Texas,75.5,2.1,119,73.4
TX-429,Stephens County,Texas,66.3,2.4,127,63.9
TX-431,Sterling County,Texas,66.3,2.9,127,63.4
TX-433,Stonewall County,Texas,66.1,2.7,126,63.4
TX-435,Sutton County,Texas,67.1,3,128,64.1
TX-437,Swisher County,Texas,59.7,2.3,121,57.5
TX-439,Tarrant County,Texas,67.5,2.2,120,65.3
TX-441,Taylor County,Texas,66.4,2.8,127,63.5
TX-443,Terrell County,Texas,68.6,2.5,125,66.1
TX-445,Terry County,Texas,61.8,1.7,118,60.1
TX-447,Throckmorton County,Texas,66.2,2.6,124,63.7
TX-449,Titus County,Texas,65.8,2.3,124,63.5
TX-451,Tom Green County,Texas,67.1,2.7,124,64.4
TX-453,Travis County,Texas,69.3,2.3,125,67.1
TX-455,Trinity County,Texas,68.4,1.8,122,66.5
TX-457,Tyler County,Texas,68.3,2,124,66.3
TX-459,Upshur County,Texas,65.7,1.3,110,64.4
TX-461,Upton County,Texas,66.8,2.5,121,64.3
TX-463,Uvalde County,Texas,71,2.6,127,68.4
TX-465,Val Verde County,Texas,70,2.5,126,67.5
TX-467,Van Zandt County,Texas,66,1.6,110,64.4
TX-469,Victoria County,Texas,71.9,2.5,122,69.4
TX-471,Walker County,Texas,69.2,2.2,124,67
TX-473,Waller County,Texas,71.1,3.3,126,67.9
TX-475,Ward County,Texas,67,2.6,120,64.4
TX-477,Washington County,Texas,70.5,3,126,67.5
TX-479,Webb County,Texas,73.6,2,121,71.6
TX-481,Wharton County,Texas,71.5,2.8,125,68.7
TX-483,Wheeler County,Texas,61,2.6,125,58.4
TX-485,Wichita County,Texas,65.5,2.5,126,63
TX-487,Wilbarger County,Texas,65.4,2.6,125,62.7
TX-489,Willacy County,Texas,74.8,1.7,115,73.1
TX-491,Williamson County,Texas,68.7,2.4,122,66.4
TX-493,Wilson County,Texas,71.2,2.1,123,69.1
TX-495,Winkler County,Texas,65.6,2.3,118,63.3
TX-497,Wise County,Texas,66.1,2.2,121,63.9
TX-499,Wood County,Texas,65.7,1.8,114,64
TX-501,Yoakum County,Texas,61.2,2.1,121,59
TX-503,Young County,Texas,65.8,2.2,120,63.6
TX-505,Zapata County,Texas,75.3,2.3,120,73
TX-507,Zavala County,Texas,72.4,2.3,124,70.1
